Product code,Station number,Year,Month,Lowest temperature (°C),Day,Quality
IDCJAC0008,23013,1986,11,5.7,08,Y
IDCJAC0008,23013,1986,12,7.8,19,Y
IDCJAC0008,23013,1987,01,8.7,05,Y
IDCJAC0008,23013,1987,02,10.0,25,Y
IDCJAC0008,23013,1987,03,7.4,14,Y
IDCJAC0008,23013,1987,04,4.2,18,Y
IDCJAC0008,23013,1987,05,1.7,28,Y
IDCJAC0008,23013,1987,06,0.7,13,Y
IDCJAC0008,23013,1987,07,0.2,28,Y
IDCJAC0008,23013,1987,08,1.2,20,Y
IDCJAC0008,23013,1987,09,0.0,01,Y
IDCJAC0008,23013,1987,10,3.7,12,Y
IDCJAC0008,23013,1987,11,5.0,05,Y
IDCJAC0008,23013,1987,12,6.5,03,Y
IDCJAC0008,23013,1988,01,10.6,25,Y
IDCJAC0008,23013,1988,02,11.5,21,Y
IDCJAC0008,23013,1988,03,9.3,12,Y
IDCJAC0008,23013,1988,04,6.6,11,Y
IDCJAC0008,23013,1988,05,5.4,12,Y
IDCJAC0008,23013,1988,06,1.9,29,Y
IDCJAC0008,23013,1988,07,2.1,02,Y
IDCJAC0008,23013,1988,08,1.7,23,Y
IDCJAC0008,23013,1988,09,2.1,20,Y
IDCJAC0008,23013,1988,10,5.4,25,Y
IDCJAC0008,23013,1988,11,6.5,18,Y
IDCJAC0008,23013,1988,12,8.4,06,Y
IDCJAC0008,23013,1989,01,8.1,06,Y
IDCJAC0008,23013,1989,02,10.2,22,Y
IDCJAC0008,23013,1989,03,7.2,28,Y
IDCJAC0008,23013,1989,04,7.1,14,Y
IDCJAC0008,23013,1989,05,6.9,31,Y
IDCJAC0008,23013,1989,06,-0.2,03,Y
IDCJAC0008,23013,1989,07,-0.6,25,Y
IDCJAC0008,23013,1989,08,1.9,18,Y
IDCJAC0008,23013,1989,09,2.3,14,Y
IDCJAC0008,23013,1989,10,3.4,02,Y
IDCJAC0008,23013,1989,11,6.7,02,Y
IDCJAC0008,23013,1989,12,10.2,29,Y
IDCJAC0008,23013,1990,01,11.1,22,Y
IDCJAC0008,23013,1990,02,10.4,07,Y
IDCJAC0008,23013,1990,03,10.1,31,Y
IDCJAC0008,23013,1990,04,5.4,27,Y
IDCJAC0008,23013,1990,05,4.4,21,Y
IDCJAC0008,23013,1990,06,2.1,20,Y
IDCJAC0008,23013,1990,07,2.8,30,Y
IDCJAC0008,23013,1990,08,3.4,10,Y
IDCJAC0008,23013,1990,09,3.2,22,Y
IDCJAC0008,23013,1990,10,6.6,20,Y
IDCJAC0008,23013,1990,11,7.7,25,Y
IDCJAC0008,23013,1990,12,9.1,11,Y
IDCJAC0008,23013,1991,01,13.2,06,Y
IDCJAC0008,23013,1991,02,10.8,16,Y
IDCJAC0008,23013,1991,03,9.7,22,Y
IDCJAC0008,23013,1991,04,7.7,22,Y
IDCJAC0008,23013,1991,05,2.6,14,Y
IDCJAC0008,23013,1991,06,5.8,13,Y
IDCJAC0008,23013,1991,07,1.4,25,Y
IDCJAC0008,23013,1991,08,4.2,11,Y
IDCJAC0008,23013,1991,09,3.8,01,Y
IDCJAC0008,23013,1991,10,5.7,09,Y
IDCJAC0008,23013,1991,11,7.6,09,Y
IDCJAC0008,23013,1991,12,9.2,23,Y
IDCJAC0008,23013,1992,01,10.3,12,Y
IDCJAC0008,23013,1992,02,10.4,24,Y
IDCJAC0008,23013,1992,03,9.8,19,Y
IDCJAC0008,23013,1992,04,5.7,22,Y
IDCJAC0008,23013,1992,05,3.1,19,Y
IDCJAC0008,23013,1992,06,2.7,27,Y
IDCJAC0008,23013,1992,07,2.6,20,Y
IDCJAC0008,23013,1992,08,-0.2,24,Y
IDCJAC0008,23013,1992,09,1.5,09,Y
IDCJAC0008,23013,1992,10,3.4,01,Y
IDCJAC0008,23013,1992,11,3.4,05,Y
IDCJAC0008,23013,1992,12,10.5,26,Y
IDCJAC0008,23013,1993,01,8.7,05,Y
IDCJAC0008,23013,1993,02,7.3,22,Y
IDCJAC0008,23013,1993,03,7.2,29,Y
IDCJAC0008,23013,1993,04,4.9,15,Y
IDCJAC0008,23013,1993,05,0.1,18,Y
IDCJAC0008,23013,1993,06,0.6,02,Y
IDCJAC0008,23013,1993,07,2.2,17,Y
IDCJAC0008,23013,1993,08,0.9,04,Y
IDCJAC0008,23013,1993,09,2.1,13,Y
IDCJAC0008,23013,1993,10,1.8,11,Y
IDCJAC0008,23013,1993,11,4.6,06,Y
IDCJAC0008,23013,1993,12,5.9,05,Y
IDCJAC0008,23013,1994,01,10.0,22,Y
IDCJAC0008,23013,1994,02,10.4,18,Y
IDCJAC0008,23013,1994,03,6.5,14,Y
IDCJAC0008,23013,1994,04,5.6,21,Y
IDCJAC0008,23013,1994,05,3.6,05,Y
IDCJAC0008,23013,1994,06,1.9,27,Y
IDCJAC0008,23013,1994,07,0.3,17,Y
IDCJAC0008,23013,1994,08,-0.3,10,Y
IDCJAC0008,23013,1994,09,0.3,15,Y
IDCJAC0008,23013,1994,10,4.4,22,Y
IDCJAC0008,23013,1994,11,4.0,30,Y
IDCJAC0008,23013,1994,12,8.7,10,Y
IDCJAC0008,23013,1995,01,10.8,31,Y
IDCJAC0008,23013,1995,02,9.7,06,Y
IDCJAC0008,23013,1995,03,6.5,26,Y
IDCJAC0008,23013,1995,04,6.3,22,Y
IDCJAC0008,23013,1995,05,1.6,21,Y
IDCJAC0008,23013,1995,06,3.1,23,Y
IDCJAC0008,23013,1995,07,-1.1,08,Y
IDCJAC0008,23013,1995,08,-0.6,09,Y
IDCJAC0008,23013,1995,09,1.0,26,Y
IDCJAC0008,23013,1995,10,2.1,25,Y
IDCJAC0008,23013,1995,11,5.5,23,Y
IDCJAC0008,23013,1995,12,5.6,06,Y
IDCJAC0008,23013,1996,01,8.9,25,Y
IDCJAC0008,23013,1996,02,8.7,03,Y
IDCJAC0008,23013,1996,03,6.7,20,Y
IDCJAC0008,23013,1996,04,3.3,22,Y
IDCJAC0008,23013,1996,05,3.0,30,Y
IDCJAC0008,23013,1996,06,1.2,12,Y
IDCJAC0008,23013,1996,07,1.4,28,Y
IDCJAC0008,23013,1996,08,0.0,08,Y
IDCJAC0008,23013,1996,09,1.4,27,Y
IDCJAC0008,23013,1996,10,2.9,17,Y
IDCJAC0008,23013,1996,11,4.4,19,Y
IDCJAC0008,23013,1996,12,8.5,18,Y
IDCJAC0008,23013,1997,01,8.9,08,Y
IDCJAC0008,23013,1997,02,5.0,28,Y
IDCJAC0008,23013,1997,03,5.9,28,Y
IDCJAC0008,23013,1997,04,4.7,16,Y
IDCJAC0008,23013,1997,05,1.2,31,Y
IDCJAC0008,23013,1997,06,0.5,26,Y
IDCJAC0008,23013,1997,07,-1.4,06,Y
IDCJAC0008,23013,1997,08,-0.1,21,Y
IDCJAC0008,23013,1997,09,4.5,10,Y
IDCJAC0008,23013,1997,10,2.4,19,Y
IDCJAC0008,23013,1997,11,6.2,17,Y
IDCJAC0008,23013,1997,12,6.0,18,Y
IDCJAC0008,23013,1998,01,9.7,29,Y
