Product code,Station number,Year,Month,Highest temperature (°C),Day,Quality
IDCJAC0005,72023,1981,02,37.0,17,Y
IDCJAC0005,72023,1981,03,33.3,19,Y
IDCJAC0005,72023,1981,04,29.6,09,Y
IDCJAC0005,72023,1981,05,23.3,03,Y
IDCJAC0005,72023,1981,06,16.4,01,Y
IDCJAC0005,72023,1981,07,14.4,21,Y
IDCJAC0005,72023,1981,08,17.7,20,Y
IDCJAC0005,72023,1981,09,25.9,17,Y
IDCJAC0005,72023,1981,10,30.2,27,Y
IDCJAC0005,72023,1981,11,32.6,27,Y
IDCJAC0005,72023,1981,12,34.1,18,Y
IDCJAC0005,72023,1982,01,43.4,24,Y
IDCJAC0005,72023,1982,02,39.6,08,Y
IDCJAC0005,72023,1982,03,35.7,07,Y
IDCJAC0005,72023,1982,04,27.0,15,Y
IDCJAC0005,72023,1982,05,21.5,18,Y
IDCJAC0005,72023,1982,06,17.6,14,Y
IDCJAC0005,72023,1982,07,15.7,26,Y
IDCJAC0005,72023,1982,08,24.3,29,Y
IDCJAC0005,72023,1982,09,24.0,16,Y
IDCJAC0005,72023,1982,10,32.8,26,Y
IDCJAC0005,72023,1982,11,39.8,24,Y
IDCJAC0005,72023,1982,12,37.6,14,Y
IDCJAC0005,72023,1983,01,41.0,31,Y
IDCJAC0005,72023,1983,02,41.8,08,Y
IDCJAC0005,72023,1983,03,39.2,08,Y
IDCJAC0005,72023,1983,04,24.0,21,Y
IDCJAC0005,72023,1983,05,21.4,01,Y
IDCJAC0005,72023,1983,06,16.3,21,Y
IDCJAC0005,72023,1983,07,15.3,26,Y
IDCJAC0005,72023,1983,08,18.4,16,Y
IDCJAC0005,72023,1983,09,23.7,28,Y
IDCJAC0005,72023,1983,10,26.8,27,Y
IDCJAC0005,72023,1983,11,30.8,07,Y
IDCJAC0005,72023,1983,12,37.8,21,Y
IDCJAC0005,72023,1984,01,35.1,25,Y
IDCJAC0005,72023,1984,02,33.1,06,Y
IDCJAC0005,72023,1984,03,30.6,07,Y
IDCJAC0005,72023,1984,04,27.0,04,Y
IDCJAC0005,72023,1984,05,20.7,02,Y
IDCJAC0005,72023,1984,06,18.9,07,Y
IDCJAC0005,72023,1984,07,15.1,08,Y
IDCJAC0005,72023,1984,08,19.0,24,Y
IDCJAC0005,72023,1984,09,20.2,10,Y
IDCJAC0005,72023,1984,10,26.2,24,Y
IDCJAC0005,72023,1984,11,34.1,27,Y
IDCJAC0005,72023,1984,12,34.7,25,Y
IDCJAC0005,72023,1985,01,41.5,14,Y
IDCJAC0005,72023,1985,02,37.7,06,Y
IDCJAC0005,72023,1985,03,36.0,13,Y
IDCJAC0005,72023,1985,04,28.8,14,Y
IDCJAC0005,72023,1985,05,22.8,04,Y
IDCJAC0005,72023,1985,06,16.2,29,Y
IDCJAC0005,72023,1985,07,16.6,28,Y
IDCJAC0005,72023,1985,08,16.9,27,Y
IDCJAC0005,72023,1985,09,23.1,24,Y
IDCJAC0005,72023,1985,10,27.8,04,Y
IDCJAC0005,72023,1986,04,34.8,04,Y
IDCJAC0005,72023,1986,05,21.0,03,Y
IDCJAC0005,72023,1986,07,16.3,24,Y
IDCJAC0005,72023,1986,08,18.7,22,Y
IDCJAC0005,72023,1987,01,39.2,16,Y
IDCJAC0005,72023,1987,02,40.9,02,Y
IDCJAC0005,72023,1987,03,30.3,18,Y
IDCJAC0005,72023,1987,04,29.6,06,Y
IDCJAC0005,72023,1987,05,21.6,13,Y
IDCJAC0005,72023,1987,06,17.2,08,Y
IDCJAC0005,72023,1987,07,14.2,23,Y
IDCJAC0005,72023,1987,08,19.4,29,Y
IDCJAC0005,72023,1987,09,27.7,27,Y
IDCJAC0005,72023,1987,10,30.4,31,Y
IDCJAC0005,72023,1987,11,34.5,02,Y
IDCJAC0005,72023,1987,12,37.2,16,Y
IDCJAC0005,72023,1988,01,42.1,12,Y
IDCJAC0005,72023,1988,02,36.9,27,Y
IDCJAC0005,72023,1988,03,35.8,03,Y
IDCJAC0005,72023,1988,04,30.1,04,Y
IDCJAC0005,72023,1988,05,27.4,01,Y
IDCJAC0005,72023,1988,06,17.3,04,Y
IDCJAC0005,72023,1988,07,16.8,06,Y
IDCJAC0005,72023,1988,08,20.1,31,Y
IDCJAC0005,72023,1988,09,22.7,23,Y
IDCJAC0005,72023,1988,10,28.4,20,Y
IDCJAC0005,72023,1988,11,33.5,02,Y
IDCJAC0005,72023,1988,12,35.0,24,Y
IDCJAC0005,72023,1989,01,35.4,09,Y
IDCJAC0005,72023,1989,02,35.3,13,Y
IDCJAC0005,72023,1989,03,35.4,06,Y
IDCJAC0005,72023,1989,04,27.4,05,Y
IDCJAC0005,72023,1989,05,22.0,08,Y
IDCJAC0005,72023,1989,06,15.8,12,Y
IDCJAC0005,72023,1989,07,18.8,25,Y
IDCJAC0005,72023,1989,08,17.4,18,Y
IDCJAC0005,72023,1989,09,22.1,29,Y
IDCJAC0005,72023,1989,10,25.6,24,Y
IDCJAC0005,72023,1989,11,33.5,24,Y
IDCJAC0005,72023,1989,12,36.9,11,Y
IDCJAC0005,72023,1990,10,31.3,30,Y
IDCJAC0005,72023,1990,11,35.3,29,Y
IDCJAC0005,72023,1990,12,37.4,17,Y
IDCJAC0005,72023,1991,01,39.1,11,Y
IDCJAC0005,72023,1991,02,39.5,04,Y
IDCJAC0005,72023,1991,03,37.7,08,Y
IDCJAC0005,72023,1991,04,28.2,13,Y
IDCJAC0005,72023,1991,05,24.2,07,Y
IDCJAC0005,72023,1991,06,20.7,02,Y
IDCJAC0005,72023,1991,07,15.6,19,Y
IDCJAC0005,72023,1991,08,15.6,04,Y
IDCJAC0005,72023,1991,09,21.1,07,Y
IDCJAC0005,72023,1991,10,30.1,30,Y
IDCJAC0005,72023,1991,11,35.0,25,Y
IDCJAC0005,72023,1991,12,36.8,27,Y
IDCJAC0005,72023,1992,01,39.3,20,Y
IDCJAC0005,72023,1992,02,33.5,19,Y
IDCJAC0005,72023,1992,03,32.8,14,Y
IDCJAC0005,72023,1992,04,28.9,02,Y
IDCJAC0005,72023,1992,05,22.5,08,Y
IDCJAC0005,72023,1992,06,17.9,27,Y
IDCJAC0005,72023,1992,07,16.2,03,Y
IDCJAC0005,72023,1992,08,16.3,16,Y
IDCJAC0005,72023,1992,09,18.4,28,Y
IDCJAC0005,72023,1992,10,26.6,28,Y
IDCJAC0005,72023,1992,11,26.7,17,Y
IDCJAC0005,72023,1992,12,31.2,31,Y
IDCJAC0005,72023,1993,01,34.6,15,Y
IDCJAC0005,72023,1993,02,36.7,04,Y
IDCJAC0005,72023,1993,03,29.5,16,Y
IDCJAC0005,72023,1993,04,24.7,24,Y
IDCJAC0005,72023,1993,05,22.3,01,Y
IDCJAC0005,72023,1993,06,15.7,30,Y
IDCJAC0005,72023,1993,07,17.0,29,Y
IDCJAC0005,72023,1993,08,20.0,31,Y
IDCJAC0005,72023,1993,09,24.2,30,Y
IDCJAC0005,72023,1993,10,25.5,08,Y
IDCJAC0005,72023,1993,11,34.3,27,Y
IDCJAC0005,72023,1993,12,36.1,01,Y
IDCJAC0005,72023,1994,01,35.8,26,Y
IDCJAC0005,72023,1994,02,37.0,09,Y
IDCJAC0005,72023,1994,03,27.3,29,Y
IDCJAC0005,72023,1994,04,28.7,28,Y
IDCJAC0005,72023,1994,05,21.6,24,Y
IDCJAC0005,72023,1994,06,19.4,02,Y
IDCJAC0005,72023,1994,07,18.2,04,Y
IDCJAC0005,72023,1994,08,22.3,28,Y
IDCJAC0005,72023,1994,09,25.8,03,Y
IDCJAC0005,72023,1994,10,29.6,25,Y
IDCJAC0005,72023,1994,11,36.2,26,Y
IDCJAC0005,72023,1994,12,39.0,28,Y
IDCJAC0005,72023,1995,01,36.8,13,Y
IDCJAC0005,72023,1995,02,37.2,26,Y
IDCJAC0005,72023,1995,03,34.6,06,Y
IDCJAC0005,72023,1995,04,26.0,30,Y
IDCJAC0005,72023,1995,05,21.2,12,Y
IDCJAC0005,72023,1995,06,21.6,09,Y
IDCJAC0005,72023,1995,07,13.4,27,Y
IDCJAC0005,72023,1995,08,24.0,25,Y
IDCJAC0005,72023,1995,09,24.0,19,Y
